dataset_id,strong_classical,tabpfn,actual_gap,n_seeds,name,name_pred,n,d,n_classes,in_operating_range,suites,predicted_regret,predicted_out_of_prior,predicted_loss_vs_strong_classical,confidence
1510,0.18392096161044166,0.11464093288968437,-0.0692800287207573,1,wdbc,wdbc,569,30,2,True,cc18,-0.34530619354200576,False,False,0.0048160806660312
4134,0.48619001339594875,0.4826515185460524,-0.003538494849896323,1,Bioresponse,Bioresponse,3751,1776,2,False,cc18,-1.141339087304303,False,False,0.014642590315538348
23381,0.6906282077452354,0.6701626500231406,-0.020465557722094796,1,dresses-sales,dresses-sales,500,12,2,True,cc18,0.10788933861339528,True,True,0.0007783241691644416
40670,0.15534015592818284,0.13297848839602677,-0.02236166753215607,1,dna,dna,3186,180,3,True,cc18,0.27996434959078914,True,True,0.0029024785465252925
40978,0.10141413796060511,0.08814642246237339,-0.01326771549823172,1,Internet-Advertisements,Internet-Advertisements,3279,1558,2,False,cc18,0.25145068908494744,True,True,0.0025504959057337027
40982,0.529692841728256,0.4325537178555217,-0.09713912387273432,1,steel-plates-fault,steel-plates-fault,1941,27,7,True,cc18,-0.3622905665053878,False,False,0.005025741731702362
40983,0.04349630777913095,0.045105715460090665,0.0016094076809597124,1,wilt,wilt,4839,5,2,True,cc18,0.8665657254923226,True,True,0.010143691976119877
40996,0.48277750902765354,0.43591883860388886,-0.04685867042376468,1,Fashion-MNIST,Fashion-MNIST,70000,784,10,False,cc18,20.346596381688823,True,True,0.2506120328145198
44120,0.40915278089478735,0.3813341948284059,-0.027818586066381434,1,electricity,electricity,38474,7,2,False,grinsztajn_num,13.848967048712913,True,True,0.17040301401676855
44121,0.5292856393528154,0.4464544108970631,-0.08283122845575225,1,covertype,covertype,566602,10,2,False,grinsztajn_num,242.6081756176386,True,True,1.0
44123,0.32228670993457587,0.28273453285656586,-0.03955217707801001,1,house_16H,house_16H,13488,16,2,False,grinsztajn_num,2.947581097888308,True,True,0.03583247669577262
44159,0.5284153982838699,0.3262953905522701,-0.20212000773159977,1,covertype,covertype,423680,49,2,False,grinsztajn_cat,177.2927196579477,True,True,1.0
46906,0.06934818095868084,0.029954707501140338,-0.039393473457540504,1,anneal,anneal,898,31,5,True,tabarena,-0.12232921580633596,False,False,0.002063574531540007
46908,0.03412660910372283,0.021535213000496746,-0.012591396103226085,1,APSFailure,APSFailure,76000,169,2,False,tabarena,13.139877785157525,True,True,0.16164976707774242
46910,0.30993461820333906,0.30559916079783456,-0.004335457405504506,1,bank-marketing,bank-marketing,45211,13,2,False,tabarena,16.67471583236416,True,True,0.2052850495547668
46915,0.15995332212913702,0.1385128674404119,-0.021440454688725102,1,churn,churn,5000,19,2,True,tabarena,0.5761189377158611,True,True,0.006558314807515076
46920,0.19543556269838394,0.14737005830470362,-0.04806550439368032,1,customer_satisfaction_in_airline,customer_satisfaction_in_airline,129880,21,2,False,tabarena,53.884716645586536,True,True,0.6646183697158847
46921,0.5219098773837588,0.4800628678981079,-0.0418470094856509,1,diabetes,diabetes,768,8,2,True,tabarena,-0.13516613452368922,False,False,0.002222037965192634
46927,0.49963548121971246,0.45446047231901654,-0.04517500890069592,1,Fitness_Club,Fitness_Club,1500,6,2,True,tabarena,-0.043493851393547805,False,False,0.001090403102073927
46929,0.20207324962814513,0.1891563429171584,-0.01291690671098672,1,GiveMeSomeCredit,GiveMeSomeCredit,150000,10,2,False,tabarena,60.17487875733091,True,True,0.7422663402612796
46941,0.5270180346803465,0.427552495339315,-0.09946553934103147,1,maternal_health_risk,maternal_health_risk,1014,6,3,True,tabarena,0.02472857753589347,False,False,0.0002482414760392191
46947,0.23825282377038992,0.22963848260494638,-0.008614341165443545,1,online_shoppers_intention,online_shoppers_intention,12330,17,2,False,tabarena,3.967616801971132,True,True,0.04842415571752516
46950,0.11199507783196878,0.08293777175313842,-0.029057306078830364,1,polish_companies_bankruptcy,polish_companies_bankruptcy,5910,64,2,True,tabarena,2.8032360768914204,True,True,0.03405063105497203
46955,0.08947287603147512,0.07462893971387047,-0.014843936317604653,1,SDSS17,SDSS17,78053,11,3,False,tabarena,26.436448813422434,True,True,0.32578731031049507
46958,0.13862816147870197,0.08192618889173321,-0.056701972586968755,1,splice,splice,3190,60,3,True,tabarena,0.5534068662573607,True,True,0.006277949019749157
46962,0.08622332612020249,0.09004511737824358,0.0038217912580410934,1,taiwanese_bankruptcy_prediction,taiwanese_bankruptcy_prediction,6819,94,2,True,tabarena,0.5101926002992867,True,True,0.005744496941624122
46963,0.2744458764610303,0.22846388825227695,-0.04598198820875335,1,website_phishing,website_phishing,1353,9,3,True,tabarena,-0.03485071041365487,False,False,0.0009837091338893284
46964,0.9950768708991554,0.8106878332270706,-0.1843890376720848,1,wine_quality,wine_quality,6497,12,7,True,tabarena,3.8417098119531654,True,True,0.04686991560754122
46979,0.43744367138207935,0.43844465096507274,0.0010009795829933887,1,jm1,jm1,10885,21,2,False,tabarena,3.015654286188035,True,True,0.03667279604305293
46980,0.6174783844094401,0.6241311176117879,0.006652733202347716,1,MIC,MIC,1699,111,8,True,tabarena,-0.0664877297247585,False,False,0.0013742476128620776
